date,tavg,tmin,tmax,prcp
19-10-2005,24.2,,33.3,0
20-10-2005,24.3,19.5,30.3,0.5
21-10-2005,22.6,19.2,30.3,0
22-10-2005,23.7,19.1,29.1,0
23-10-2005,24.7,20.6,30.3,
24-10-2005,24.8,18.6,31.8,
25-10-2005,25.2,18.4,33.1,
26-10-2005,22.1,18.1,33.1,
27-10-2005,23.4,17.2,32.1,
28-10-2005,24,16.5,32.7,
29-10-2005,22.7,16.7,32.7,
30-10-2005,22,15.3,31.7,
31-10-2005,22.1,14.2,31.7,
01-11-2005,21.4,14.8,31,
02-11-2005,21.2,,30.1,
03-11-2005,23,15,30.1,
04-11-2005,22.7,15.6,,
05-11-2005,21.3,14.4,30.8,
06-11-2005,19.4,13.1,30.1,
07-11-2005,20,11.4,,
08-11-2005,19.5,11.6,30.3,
09-11-2005,20,11.9,30.9,
10-11-2005,20.2,12.4,30.7,
11-11-2005,21.1,13.7,30.1,
12-11-2005,22.3,14.7,31.1,
13-11-2005,22.6,14.7,31.6,
14-11-2005,21.3,,31.6,
15-11-2005,21.5,13.3,30.3,
16-11-2005,20.5,12.5,30.1,
17-11-2005,20.2,11.5,30.1,
18-11-2005,17.8,11.3,28.3,
19-11-2005,17.8,9.7,29.1,
20-11-2005,18.8,10.5,29.1,
21-11-2005,18.6,10.3,29.5,
22-11-2005,19.2,,29.5,
23-11-2005,20.3,12.3,31.3,
24-11-2005,18.9,11.5,31.3,
25-11-2005,18.2,10.8,29.5,
26-11-2005,18.8,,28.8,
27-11-2005,19.1,10.9,29.6,
28-11-2005,19.2,11.7,29.7,
29-11-2005,18.5,12,29.8,
30-11-2005,18.7,11.6,,
01-12-2005,18.9,12.6,29.8,
02-12-2005,17.7,11.7,27.5,
03-12-2005,17,10.3,27.5,
04-12-2005,15,8.7,25.1,
05-12-2005,15.5,8,24.7,
06-12-2005,15.7,7.5,26.1,
07-12-2005,16,7.5,26.1,
08-12-2005,16.8,9,27,
09-12-2005,16.1,7.7,,
10-12-2005,15.4,7.7,25.8,
11-12-2005,13.8,8,26.5,
12-12-2005,13.9,6.3,26.5,
13-12-2005,14.3,6.5,25.6,
14-12-2005,13.4,7.3,24.1,
15-12-2005,12.8,5.1,24,
16-12-2005,14.4,6.4,24.4,
17-12-2005,14.8,7.3,25.1,83.8
18-12-2005,15.4,7.3,25.1,0
19-12-2005,13.9,,24.6,
20-12-2005,14.6,6.8,24.6,
21-12-2005,15.7,7.6,24.8,
22-12-2005,15.5,10.1,24.8,
23-12-2005,15.1,11.1,21.2,0
24-12-2005,15.7,8.5,23.5,0.5
25-12-2005,14.7,9,23.5,0
26-12-2005,13.5,6.9,22.7,
27-12-2005,14.4,7.5,23.9,
28-12-2005,15.2,8.5,24.1,
29-12-2005,14.3,6.7,24.1,
30-12-2005,14.4,6.3,24.3,
31-12-2005,16.3,7.7,,
01-01-2006,17.4,7.7,,
02-01-2006,16.9,9.5,28.1,
03-01-2006,19,10.5,29.1,
04-01-2006,15.2,,29.1,
05-01-2006,10.9,4.9,22.1,
06-01-2006,12.2,5.4,20.3,
07-01-2006,12.5,5.2,21.6,
08-01-2006,10.8,4.1,22.7,
09-01-2006,11.4,3.1,22.7,
10-01-2006,12.9,3.6,22.3,
11-01-2006,13.6,5.1,23.5,
12-01-2006,15.8,7.3,25.9,
13-01-2006,16.2,7.7,26.3,15.5
14-01-2006,16.8,7.7,26.3,0
15-01-2006,16.5,,26.1,
16-01-2006,17.5,7.8,,
17-01-2006,17.9,9.9,27.7,
18-01-2006,19.7,10.3,28.9,
19-01-2006,18.8,,28.9,
20-01-2006,18.3,10.3,28.7,
21-01-2006,17.4,11.2,28.7,
22-01-2006,14.5,7.3,23.1,
23-01-2006,13.5,4.7,23.1,
24-01-2006,14,6.5,,
25-01-2006,14.4,7.2,27.3,
26-01-2006,15,6.1,25.2,
27-01-2006,14.6,8,25.2,
28-01-2006,16.5,8.1,,
29-01-2006,17.9,,26.7,
30-01-2006,18.3,9.3,28.6,
31-01-2006,18.5,9,28.6,
01-02-2006,19.2,10.5,29.1,
02-02-2006,18.7,11.7,29.1,
03-02-2006,18.7,10.5,27.6,
04-02-2006,18.5,12.4,27.5,
05-02-2006,18.4,10.1,28,
06-02-2006,18.6,9.9,27.7,
07-02-2006,19.1,10.8,28.5,
08-02-2006,19.3,11,28.5,
09-02-2006,21.2,14.1,,
10-02-2006,20.3,13.5,28.9,
11-02-2006,19.1,12.1,28.6,
12-02-2006,20.1,11.5,29.7,
13-02-2006,20.9,12.6,,
14-02-2006,22.4,,33.1,
15-02-2006,22.4,14.9,33.1,
16-02-2006,22.5,14.1,31.5,
17-02-2006,23.4,14.9,32.2,
18-02-2006,24.1,16,32.7,
19-02-2006,23.9,15.7,32.7,
20-02-2006,24.4,15.3,32.4,
21-02-2006,26.1,16.1,34.5,
22-02-2006,24.4,15.5,35.3,
23-02-2006,25.4,14.6,35.3,
24-02-2006,24.7,16.9,35.1,
25-02-2006,25.7,16.6,36,
26-02-2006,25.3,15.8,36,
27-02-2006,24.8,17.5,35.4,
28-02-2006,22.2,15.2,34.5,
01-03-2006,21.1,12.7,30.3,
02-03-2006,21.2,12.4,31,
03-03-2006,21.9,12.1,31.7,
04-03-2006,22.4,12.2,32.7,
05-03-2006,24.6,14.1,34.4,
06-03-2006,25,14.5,35.3,
07-03-2006,26.7,17.3,36.7,
08-03-2006,23.7,18.6,36.7,
09-03-2006,25.1,17.1,,
10-03-2006,19.3,17.9,34.4,4.1
