date,tavg,tmin,tmax,prcp
28-01-2006,14.2,6.3,23.1,
29-01-2006,15.8,,26.7,
30-01-2006,17.2,8.8,27,
31-01-2006,16.9,8.1,28.4,
01-02-2006,17.6,9.5,27.2,
02-02-2006,18.5,12.8,26.5,
03-02-2006,18.1,12,26.6,
04-02-2006,18,11.7,,
05-02-2006,18.7,,27.8,
06-02-2006,18.2,8.8,28.6,
07-02-2006,19.4,9.4,30.4,
08-02-2006,19.1,11.9,29.2,
09-02-2006,17.9,11.1,29.5,
10-02-2006,18.8,11.8,27.2,
11-02-2006,19.3,11.3,28.6,
12-02-2006,20.1,11.7,30.8,
13-02-2006,20.2,13,30,
14-02-2006,22.4,15.2,30.9,
15-02-2006,22.2,21.1,28.5,
16-02-2006,21.7,14.3,30.1,
17-02-2006,22.5,16.2,29.1,
18-02-2006,22.8,16.2,29.5,
19-02-2006,22.6,16.2,29.8,
20-02-2006,23.9,17.1,33.2,
21-02-2006,23,16,32.4,
22-02-2006,22.8,15.8,32.8,
23-02-2006,23.9,15.6,33.4,
24-02-2006,23.9,16.8,32,
25-02-2006,26.5,15.5,34.1,
26-02-2006,22.2,17.4,28.8,
27-02-2006,21.4,14.4,28.9,
28-02-2006,19.9,12.8,27,
01-03-2006,19.6,12.5,28.9,
02-03-2006,20.3,10.2,30.1,
03-03-2006,19.8,11.6,,
04-03-2006,21.5,12,32.5,
05-03-2006,23.4,13.7,32.8,
06-03-2006,24.2,14.7,32.6,
07-03-2006,23.8,15.5,31.6,
08-03-2006,24.2,14.9,34,
09-03-2006,24,18,29.7,
10-03-2006,19.8,,22.5,
11-03-2006,19.6,15.2,24,9.9
12-03-2006,20.1,16,25.2,0.5
13-03-2006,21.8,14,27.3,0
14-03-2006,18.5,16.4,22.8,2
15-03-2006,19.7,13.4,26.7,8.9
16-03-2006,21.2,14.9,27.5,0
17-03-2006,20.6,13.7,26.9,
18-03-2006,21.2,14.6,28.3,
19-03-2006,24.4,13.5,30.3,
20-03-2006,25.2,15.3,32,
21-03-2006,23.7,17.4,30,
22-03-2006,23.2,16.8,30.2,
23-03-2006,24.5,15,33,
24-03-2006,25.7,16.5,35.4,
