date,tavg,tmin,tmax,prcp
25-08-2005,27.7,25,31,6.1
26-08-2005,27.1,,30.9,0.3
27-08-2005,27.1,24.2,30.4,7.9
28-08-2005,27.1,,,4.1
29-08-2005,28.1,24.5,31.8,0
30-08-2005,27.7,25.3,31,
31-08-2005,27.8,25.1,30.8,
01-09-2005,27.7,24.7,31.4,
02-09-2005,28.7,,31.9,
03-09-2005,28.6,,32.3,
04-09-2005,25.7,24.8,27.5,37.1
05-09-2005,26.9,24.5,30.9,30
06-09-2005,27.9,24.6,32.7,8.9
07-09-2005,28.2,25.8,31.4,1
08-09-2005,27.4,25.2,30.9,4.1
09-09-2005,26,,,9.9
10-09-2005,26.4,24.5,28.1,223
11-09-2005,26.1,24.7,27.6,36.1
12-09-2005,26.3,24.6,27.6,89.9
13-09-2005,27.3,24.8,29.7,19.1
14-09-2005,27.3,25.5,30.6,17
15-09-2005,27.6,24.7,30.2,18
16-09-2005,27.6,25,30.5,5.1
17-09-2005,26.9,,,7.9
18-09-2005,27.8,23.5,30.5,19.1
19-09-2005,26.2,,29.5,6.1
20-09-2005,25.6,23.8,,9.9
21-09-2005,26.4,,28.8,26.9
22-09-2005,25.2,24.5,,82
23-09-2005,26.9,24.5,28.1,86.1
24-09-2005,27.4,,29.5,3
25-09-2005,27.6,25,30.5,2
26-09-2005,27.4,24.3,30.5,0.8
27-09-2005,27.1,24.2,31.4,0
28-09-2005,27.2,24,31,
29-09-2005,27.5,23.8,30.8,
30-09-2005,25.5,,27.8,0
01-10-2005,26.7,22.7,30,6.1
02-10-2005,26.7,24.1,29.9,0
03-10-2005,25.8,,27.3,0.8
04-10-2005,27.1,24,30.5,24.9
05-10-2005,27.2,24.2,30.8,0
06-10-2005,28.9,23.6,32.9,
07-10-2005,29.7,25.4,35,
08-10-2005,29.6,25,35.8,
09-10-2005,28.8,24.6,36.2,
10-10-2005,29.1,22.3,36,
11-10-2005,29.8,22.6,36,
12-10-2005,29.8,23.5,36.2,
13-10-2005,30.4,24.2,36.4,
14-10-2005,28.9,25.8,32.9,
15-10-2005,28.5,26,33,
16-10-2005,27.7,,31.5,
17-10-2005,27.9,,33.8,0
18-10-2005,27.8,,33,
19-10-2005,28.1,26,32.2,
20-10-2005,28.4,,32.6,
21-10-2005,28.2,,33.5,
22-10-2005,27.7,,35.3,
23-10-2005,27.7,20.9,34.4,
24-10-2005,27.2,,34.6,
25-10-2005,27.7,21,35.1,
26-10-2005,27.7,23.6,,
27-10-2005,27.5,,33.3,0.5
28-10-2005,26.8,19,33.8,0
29-10-2005,26.2,19.9,33.3,
30-10-2005,26.3,18.1,,
31-10-2005,25.4,17.9,33.3,
01-11-2005,25.5,17.1,32.8,
02-11-2005,26.6,21.9,31.8,
03-11-2005,27.3,22.3,33.8,
04-11-2005,27.6,21.8,35.8,
05-11-2005,27.9,20.6,35,
06-11-2005,26.8,20.9,33.5,
07-11-2005,27.4,,,
08-11-2005,27.5,20.8,33.8,
09-11-2005,25.7,,32.8,
10-11-2005,26.2,16.7,34.1,
11-11-2005,25.6,16.2,33.9,
12-11-2005,25.9,16,34.5,
13-11-2005,26.6,18,,
14-11-2005,25.5,16,33.6,
15-11-2005,26.6,18.2,34,
16-11-2005,26.6,18,34.2,
17-11-2005,26.8,17.8,34.7,
18-11-2005,25.7,17.1,35.5,
19-11-2005,25.6,19,34.5,
20-11-2005,25.9,18.5,34.3,
21-11-2005,26.7,16.5,35.4,
22-11-2005,26.2,15,34.4,
23-11-2005,26.7,17,35.2,
24-11-2005,26.5,16.6,35.3,
25-11-2005,26.6,19.5,34.8,
26-11-2005,27.1,18.8,35.4,
27-11-2005,25.8,,33,
28-11-2005,26.6,19.2,34,
29-11-2005,26.4,19.5,32.9,
30-11-2005,26.1,20.4,33.1,
01-12-2005,24.7,21,28.5,
02-12-2005,26.5,20,34,
03-12-2005,27.5,18.9,34,
04-12-2005,27.3,21.5,34.8,
05-12-2005,27.7,,36.5,
06-12-2005,28.2,,34.7,
07-12-2005,26.9,19.1,34.4,
08-12-2005,26.1,18.6,33.3,
09-12-2005,26.4,18.6,34.9,
10-12-2005,25.9,17.8,33.1,
11-12-2005,26.1,17.7,34.1,
12-12-2005,26.1,,33.8,
13-12-2005,26.2,16.7,33.8,
14-12-2005,25.2,15.5,33.6,
15-12-2005,24.8,15.1,,
16-12-2005,25.2,15.3,32.8,
