date,tavg,tmin,tmax,prcp
27-07-2005,21.4,20,25.5,
28-07-2005,22.6,19,27.9,
29-07-2005,21.2,19.5,,
30-07-2005,22.6,19.3,27.7,
31-07-2005,22.3,20.2,27,2
01-08-2005,22.6,20,,4.1
02-08-2005,22.4,20.3,26.4,0
03-08-2005,22,20.2,25.8,0.5
04-08-2005,22.3,19.6,26.3,0
05-08-2005,22.1,,27.3,0.5
06-08-2005,22.8,19.1,28.4,0.5
07-08-2005,22.6,18.6,28.1,0
08-08-2005,22.6,,28.2,0
09-08-2005,23.2,19.5,28,
10-08-2005,22.6,20.5,27,0
11-08-2005,23.6,20.2,29.1,31
12-08-2005,23.5,19.8,28.4,0
13-08-2005,23.5,19.4,28,0.3
14-08-2005,24.1,20.3,27.6,2
15-08-2005,22.5,20.4,28.5,0.5
16-08-2005,21.8,20,25,16
17-08-2005,23,19.2,27.9,0.5
18-08-2005,23.3,19.7,27.8,0.5
19-08-2005,22.9,20.1,28.5,0
20-08-2005,23.5,19,29.2,5.1
21-08-2005,23.5,19,29.7,0
22-08-2005,24.6,,29.6,4.1
23-08-2005,22.5,,29.4,5.1
24-08-2005,22.8,19.5,27.7,69.1
25-08-2005,24.2,20.9,29.6,0.3
26-08-2005,23.1,20.5,27.3,0
27-08-2005,24,,29.2,
28-08-2005,23.6,19.2,29.9,60.7
29-08-2005,24.5,19.2,30.5,
30-08-2005,24.7,20.5,30.2,0
31-08-2005,24.2,21.3,28.6,
01-09-2005,24.8,,30.1,
02-09-2005,23.1,20,27.3,32
03-09-2005,24,20.5,29.7,29
04-09-2005,23.8,20.2,30,34
05-09-2005,23.1,,27.7,17
06-09-2005,23.1,20,27.3,1
07-09-2005,22.2,20.7,23.7,2
08-09-2005,23.9,19.9,29.1,15
09-09-2005,23.5,21.1,28.1,3
10-09-2005,22.3,,27.1,0.5
11-09-2005,22.9,19.9,25.9,14
12-09-2005,22.7,20.2,27,0
13-09-2005,22.6,20,27.6,0
14-09-2005,22.7,20.2,26.4,1
15-09-2005,23.3,20.2,27.6,0
16-09-2005,23.7,19.9,29.6,
17-09-2005,23.9,18.9,30,
18-09-2005,23.6,18.8,29.3,0.5
19-09-2005,23.2,18.8,28.2,0
20-09-2005,20.6,18.9,24.2,1
21-09-2005,23.1,19,28.5,5.1
22-09-2005,23.6,19.5,29,0
23-09-2005,23.6,19.5,29.1,
24-09-2005,24.1,19.1,30.1,
25-09-2005,24.2,19.7,30.3,
26-09-2005,24,19.7,30,
27-09-2005,24,20.2,29.1,
28-09-2005,24.9,21,31.5,
29-09-2005,21.7,19.2,25.1,16
30-09-2005,22.5,,28.9,9.9
01-10-2005,23.8,20,28.7,29
02-10-2005,24.3,21.2,29.8,0
03-10-2005,23.5,,30.2,
04-10-2005,22.4,,28.5,18
05-10-2005,21.9,19.5,27.7,64
06-10-2005,23.8,19.9,29.2,7.9
07-10-2005,23.8,20.4,30.5,0.5
08-10-2005,22.8,,28.7,14
09-10-2005,22.6,18.9,29,62
10-10-2005,22.8,19.6,26.9,13
11-10-2005,22.4,19.8,26.1,0.5
12-10-2005,23.2,20.3,27.3,0.5
13-10-2005,20.9,19.9,22.6,10.9
14-10-2005,22.4,19.1,26.9,46
15-10-2005,22.9,19.5,29.3,0
16-10-2005,23.4,19.4,29.4,7.9
17-10-2005,22.9,20.2,29.2,17
18-10-2005,22.4,19.4,28.6,56.9
19-10-2005,21.7,19.4,28.6,0
20-10-2005,23.7,19.3,28.9,5.1
21-10-2005,23.7,20.5,28.3,0
22-10-2005,23.4,,28.4,
23-10-2005,21.9,19.4,26.4,120.9
24-10-2005,22.6,19.6,27.3,30
25-10-2005,20.3,,23.2,0.8
26-10-2005,22.8,16.6,,87.9
27-10-2005,20.3,,22.6,0.8
28-10-2005,20.9,17.2,23.9,7.9
29-10-2005,21.3,19.9,24.4,3
30-10-2005,22,20.1,24.7,0
31-10-2005,23.4,20.4,29.2,0
01-11-2005,23.4,20.2,29.5,0.5
02-11-2005,21.4,19.6,24.6,9.9
03-11-2005,22.3,19.2,27.5,3
04-11-2005,22.2,19.1,28.1,9.9
05-11-2005,22.6,20,27,0
06-11-2005,21.2,19.7,23.9,
07-11-2005,21.4,,25.8,1
08-11-2005,21.3,19.1,25,1
09-11-2005,21.1,18.5,24.5,0
10-11-2005,22.7,19.2,26.8,
11-11-2005,21.9,18.2,26.4,
12-11-2005,21.8,,27.2,1
13-11-2005,19.9,15.4,26.1,0
14-11-2005,21.3,14.3,27.7,
15-11-2005,22.1,,29.9,
16-11-2005,20.9,14.9,29.2,
17-11-2005,20.1,14.4,27.9,
18-11-2005,19.4,13.5,27.9,
19-11-2005,20.2,13.7,28.3,
20-11-2005,20.5,14.8,28.2,
21-11-2005,20.3,17.4,25.8,
22-11-2005,20.4,19.3,23.6,0
23-11-2005,19.8,,21.8,7.1
24-11-2005,18.8,16.8,21,14
25-11-2005,19.7,17.7,22.5,7.1
26-11-2005,19.9,18.1,22.2,5.1
27-11-2005,20.5,,25.9,0.8
28-11-2005,18.6,14.8,26.3,0
29-11-2005,19.8,14.8,26.3,
30-11-2005,19.8,14.8,29.1,
01-12-2005,20.5,15.2,29,
02-12-2005,22.1,16.6,28.1,
03-12-2005,20.5,19.5,23.2,2
04-12-2005,20.9,18.8,23.5,3
05-12-2005,21.2,17.7,26.9,0.3
06-12-2005,21.3,16.3,27.9,0
07-12-2005,21.2,,28.9,
08-12-2005,20.7,14.9,29.1,
09-12-2005,21.6,14.7,,
10-12-2005,21,17,25.9,0
11-12-2005,19.8,,23,0.8
12-12-2005,20.4,16.6,24.8,1
13-12-2005,20.2,18.1,25,1
14-12-2005,21,16.7,25.8,1
15-12-2005,20.9,,27.3,0
16-12-2005,20,13.7,27.6,
17-12-2005,20.4,14.1,26.4,
18-12-2005,20.9,,27,0
19-12-2005,21.1,16.6,27.6,
20-12-2005,22.1,16.7,28.4,
21-12-2005,21.8,18.4,26.9,
22-12-2005,20.9,17.6,28,
23-12-2005,22.3,18.5,29.4,
24-12-2005,22.4,18.4,27.9,
25-12-2005,21.2,18.1,26.5,
26-12-2005,19.9,16.1,25.5,
27-12-2005,19.8,14.5,26.6,
28-12-2005,20,13.6,26.5,
29-12-2005,21,15.7,,
